"proteins","genes","sub-UTD-DN0024.ganglia","sub-UTD-DN0024.nerve.root","sub-UTD-DN0046.ganglia","sub-UTD-DN0046.nerve.root","sub-UTD-DN0093.ganglia","sub-UTD-DN0093.nerve.root","sub-UTD-DN0123.ganglia","sub-UTD-DN0123.nerve.root","sub-UTD-DN0178.ganglia","sub-UTD-DN0178.nerve.root","sub-UTD-DN0181.ganglia","sub-UTD-DN0181.nerve.root","sub-UTD-DN0245.ganglia","sub-UTD-DN0245.nerve.root","sub-UTD-DN0251.ganglia","sub-UTD-DN0251.nerve.root"
"A1BG","A1BG",18.3214606212786,18.5613420879349,18.4561319276971,18.7313366018,18.920933522546,19.3740074475065,19.5386872082918,19.5381386738004,19.8902046135402,19.6800198834759,19.1238293321757,18.9965025143104,19.2993924243514,18.0139191098376,17.9180103397019,18.0113094622973
"A1BG;A1BG","A1BG",17.2113925968024,17.3777598121069,17.8038490062965,17.6614717730888,18.0341929786933,18.5398283022813,18.7280264199094,18.6609570149795,19.1865891653258,18.9378914323156,18.2078900264422,17.8531630755017,18.5076232756141,16.7195441117666,17.0381187744657,17.0074675536935
"A2M","A2M",18.9582913495049,19.7399531732745,19.6152591894807,20.486632173486,18.8498824926519,19.97188776646,19.7681331708467,20.1784603869975,19.48705829808,19.48030024286,18.3744647228056,18.6915697324672,19.744283529389,19.55960993161,19.5445133522372,19.9787960972927
"A2M;PZP;PZP","A2M",17.8143486312433,18.4790356923197,18.5115136353181,19.388671739643,17.7514629860802,18.8611206508329,18.6644148107202,19.0345886175658,18.5510646623903,18.4542761310953,17.2813293630544,17.470763229528,18.6604013198874,18.3094168938488,18.6334277595177,18.9429758609599
"A4GALT","A4GALT",12.6665682707887,13.1446561295324,12.1588561326238,13.5314506140568,12.5141807406757,13.2314529859407,12.2795603357906,12.7344119879279,12.930435657044,13.7102698169089,12.4758742187574,13.5259484289018,12.5126997312337,13.2885213576681,12.2430511102959,12.2301143708075
"AAAS","AAAS",13.7001586213668,13.6429742025846,13.6124779110396,14.0527180926664,13.6795033777248,13.3413919403412,13.4693354541801,13.4054374604698,13.5863474204567,13.6817670443646,13.5277052570889,13.9893975336135,13.5497428352014,13.841861884203,13.7537375111792,13.6922497374315
"AAAS;AAAS","AAAS",13.5103280888665,13.5455646801125,13.3242771999031,13.6179731359145,13.4838030510781,13.1605051449233,13.2758859330076,13.2021346724674,13.2444403452922,13.3692771559012,13.2956849650344,13.0624552422813,13.2426000281319,13.3767817712759,13.7129824675847,13.6144289947343
"AACS","AACS",14.3171246283421,13.7925009443956,14.5682755319613,13.7043289955922,14.2345365703632,13.679588039085,14.8053675460609,14.6997932698579,14.5856483218955,14.0435998981858,14.8890468131192,14.2637193291285,14.4320825783582,14.0060070043724,14.2184772659845,14.0757038078317
"AACS;AACS","AACS",13.6544918049981,12.9317036456781,13.7208636050958,12.6109787423017,13.4393178815437,12.9344939216882,14.0382797284813,13.8068386828692,13.9285184993914,13.1233992732733,14.0180258734246,13.6577376270171,13.6183764474948,13.2033983044054,13.3828806232218,12.9710293370353
"AADAT","AADAT",11.8946483294537,11.7270270366206,11.4765982075873,11.6185737112084,11.8063048147748,NA,11.3657643615963,11.4454254396081,11.7233432841126,12.0605721707877,11.873425622906,12.1281329419676,11.6978805831401,11.8796799123025,11.8083004336106,11.8578120807071
"AAGAB","AAGAB",14.1767098644469,13.9619184160482,14.0227770724436,14.2668076948135,14.1751354049277,14.1576187155095,14.2652560443346,14.4996171816823,14.1881397549823,13.8193052534726,14.3035970452839,14.340446147458,14.1374454033762,13.7300197738126,14.0619107312079,14.5479415525505
"AAK1","AAK1",14.9498376509623,14.854007910067,15.0112089726512,15.1135560217961,15.0365995562373,14.995880296748,14.8811721523691,15.0788644959495,14.76665425834,14.6496668986141,15.110931955256,15.1422801103171,14.7917145018295,14.8305024758307,14.5390962936524,15.1215878832064
"AAK1;BMP2K;BMP2K","AAK1",14.4689180011445,14.4949949496319,14.5371261389314,14.8590959376921,14.5163089953015,14.7397356605553,14.63320933256,14.8893169468817,14.4757256202568,14.6153022546365,14.4770575977564,14.6466281997393,14.3203809461166,14.5147481658288,14.8902673020557,15.2837968916739
"AAMDC","AAMDC",15.0365856615654,15.3483703460833,14.6371074164044,14.9880558982613,15.3175823107507,16.0455583722461,15.1956780286685,15.2729739903885,13.4992592694557,12.7528850052349,15.0540557236063,15.7365792538393,15.4841988520646,15.575029409484,14.2691278571471,14.7174097208859
"AAMP","AAMP",13.4107414667214,13.4190403278893,13.6596330904318,13.3844412159294,13.6027322401398,13.4288616051794,13.4861220886858,13.6846418254371,13.5516716345407,13.2606616257976,13.5414354851777,13.3555278497724,13.5778089206335,13.5200888440784,13.5553611930434,13.548940250814
"AAR2","AAR2",14.2771990501242,14.3634754019223,14.6041375405401,14.6536157626657,14.6731377850753,14.8568901538612,14.6953605787915,14.9804339486138,14.5513742551579,14.7131527228553,14.6180922210816,14.7199122152125,14.5982437812365,14.7677369273085,14.8244316931079,14.6668628794976
"AARS1","AARS1",16.3052126999518,16.2319633092034,16.4458634911068,16.2276948211166,16.3211816976056,16.3415755068603,16.5081609301225,16.7812678494682,16.574939018384,16.4030230381474,16.4964818235496,16.4316791474997,16.4457104744327,16.3617178019309,16.4250511709814,16.4626334200454
"AARS1;AARS1","AARS1",16.5917263244361,16.4483514891708,16.7202919641632,16.5941082115699,16.691935051605,16.6203680237522,16.7569654128883,16.9931801199758,16.7999657917276,16.5904287789803,16.8446720552169,16.6730905383005,16.7088929167383,16.6900736344152,16.7605871538467,16.7317657900684
"AARS2","AARS2",15.0905468755949,15.1230005543444,15.3181578308031,15.2020568874199,15.2098373319657,15.1390067489491,15.2579769459446,15.0496360590133,15.0990141126603,15.1709942988998,15.0505817299827,15.0964892327184,15.2003343627721,15.2443834292494,14.8452996327069,14.7373121913571
"AARSD1","AARSD1",14.4164010362648,14.2592491168301,14.4934989551331,14.478962902595,14.4019274695725,14.5130363840858,14.7022913700775,14.8137630337187,14.6009495849794,14.5466377161805,14.6699486488603,14.6427400898779,14.6792792899891,14.4277438016569,14.6985297541303,14.43022206765
"AARSD1;AARSD1","AARSD1",13.1565117730009,13.4919194330066,13.3527908703545,13.2660138756101,12.900717160179,13.2448980145646,13.138757378489,13.6051575278182,13.2213166047825,13.3686707514659,13.4266413778772,13.3281578529587,13.1937786391265,13.1625812317202,13.1424781673127,13.4129586550664
"AASDHPPT","AASDHPPT",15.1840129330683,14.8852344447225,15.251166759335,15.0677679028673,15.1551751796956,15.2777459450377,15.2094023775857,15.3303726281213,15.3154594945166,15.0873589189151,15.2429189089092,15.3123900752812,15.3281840565975,15.1304681248034,15.2560743699636,15.3718261632698
"AASS","AASS",16.529655845996,16.7305042704114,16.2384461943873,16.4373567222965,16.3318663065293,16.4160501759898,16.3501107820341,16.3051859482745,16.5320021807156,16.718773685254,16.2881902521928,16.6335988184617,16.4445375069884,16.7479148596093,16.4833761823618,16.4664935317265
"AATF","AATF",12.9622337644151,13.0378036531811,12.7113898243472,13.0468248383121,13.0089637785981,12.8537849956567,12.8021953273314,12.7911945088801,12.8327426478281,12.9296914567273,12.6851112349861,12.8069780999513,12.4997826189949,12.5186734901285,13.1750046730949,12.9623163025555
"AATK","AATK",12.9618761955157,13.6091408732537,12.6533696155028,13.1734247927007,12.7383458013818,13.3767350881849,12.8440322328283,13.0311133066246,12.6509620933821,13.1789854853413,12.7913915397743,13.2689814682036,12.9537850319009,13.2107130992409,12.3231676019736,13.263909122765
"ABAT","ABAT",16.5092286313678,16.6619309325712,16.5959740855624,16.1602691659243,16.2412471575506,16.6330179963926,16.2996434567012,16.3632195659802,16.7936406021998,17.1286778366366,16.7014621282544,16.8848865146408,16.6651961264552,17.14434354143,16.2432551968112,16.6832004136112
"ABCA1","ABCA1",13.3366102919894,13.9033792263269,13.3729105689195,14.6762820448232,13.686457404093,13.9449337510943,13.6427864287345,14.1566404938805,13.2533876315058,13.9066581615853,13.339853343698,13.2991124898104,13.5187366506299,13.3811865718284,13.6900360707353,14.096756012839
"ABCA1;ABCA2","ABCA1",12.701864631844,13.1561427952635,12.9323895327665,13.1742333131219,12.7797241920175,12.9514579580265,12.240577367571,12.3299524143286,12.4788757704263,12.5153598114299,12.1925579433475,12.3270683676363,12.7730569603244,12.1990066623194,12.0123696355683,13.0368244354791
"ABCA2","ABCA2",15.2763321496097,15.3432162060786,15.2298336950167,14.6169871161276,14.8374704468375,14.7223094481808,14.9948285793105,14.6278189923157,14.9440714327134,14.8690974820132,14.9872933277653,14.6649518967837,15.1538738742303,14.6073139173772,14.642214659782,14.7409345844069
